                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9475,                 2.8199,                 1.3731,                0.35876,                 0.3622,                0.37755,                0.17493,                 1.8921,                  2.857,                 1.2475,             0.00025339,             0.00025339,             0.00025339
                      2,                 1.8102,                 1.5387,                  1.261,                0.52827,                0.57918,                0.51939,                0.24299,                 1.9526,                 1.6794,                 1.3968,             0.00045926,             0.00045926,             0.00045926
                      3,                  1.763,                 1.3383,                 1.2579,                0.54479,                0.65086,                 0.5955,                 0.2772,                 1.8699,                 1.7697,                 1.3565,             0.00061438,             0.00061438,             0.00061438
                      4,                 1.7287,                 1.2509,                 1.2469,                0.66574,                0.63957,                0.66769,                0.31136,                 1.8431,                 1.2487,                  1.318,             0.00054061,             0.00054061,             0.00054061
                      5,                 1.7086,                 1.1663,                  1.227,                0.65827,                0.71941,                0.70994,                0.33746,                 1.7985,                 1.2167,                 1.2986,             0.00046448,             0.00046448,             0.00046448
                      6,                 1.6753,                 1.0794,                 1.2132,                 0.6331,                0.69204,                0.68201,                0.33582,                  1.824,                 1.2607,                 1.3127,             0.00038835,             0.00038835,             0.00038835
                      7,                 1.6423,                 1.0191,                    1.2,                0.67057,                0.70477,                0.70728,                 0.3394,                 1.8066,                 1.1903,                 1.3168,             0.00031221,             0.00031221,             0.00031221
                      8,                 1.6178,                0.96012,                 1.1853,                0.64382,                0.71513,                0.68978,                0.33012,                 1.7918,                 1.1936,                 1.3056,             0.00023608,             0.00023608,             0.00023608
                      9,                 1.5874,                 0.9225,                  1.174,                0.71204,                0.74165,                0.73651,                0.35099,                 1.7798,                 1.1005,                 1.2854,             0.00015995,             0.00015995,             0.00015995
                     10,                 1.5657,                0.87997,                 1.1639,                0.74654,                0.72028,                0.72784,                0.35464,                 1.7756,                 1.0846,                 1.2906,             8.3821e-05,             8.3821e-05,             8.3821e-05
